item_code,item_name,box_length,box_width,box_height,box_volume,box_weight,number_of_item_in_a_box,item_volume,item_unit,item_order_frequency,item_relative_importance,item_quantity_order_mean,item_quantity_order_std,item_quantity_order_total,item_quantity_order_unique,item_quantity_order_unique_frequency,item_class,item_initial_quantity_inventory,mean_daily_demand,std_daily_demand,cv,adi,cv2,demand_pattern,cv_class,rop_global,slots_needed
10032013001,統一麥香奶茶TP375ml,40.0,20.0,14.0,11200.0,9.8,24.0,466.7,PCS,649.0,0.1609006516558057,18.333,15.198,12210,"[6, 12, 18, 24, 30, 36, 48, 60, 72, 240]","[233, 98, 11, 265, 1, 1, 52, 1, 3, 1]",A,1185,570.0,264.0818,0.4633,1.0,0.2146,smooth,0,288,10
10021035001,舒跑TP250 6入,34.0,20.0,11.0,7480.0,6.56,4.0,1870.0,PCS,648.0,0.1630606156564057,4.79,3.397,3305,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 18]","[133, 64, 16, 272, 6, 10, 4, 108, 1, 6, 6, 58, 1, 4, 1]",A,290,157.381,80.253,0.5099,1.0,0.26,smooth,1,66,10
10033004001,原萃日式綠茶580ml,37.0,25.0,24.0,22200.0,14.94,24.0,925.0,PCS,647.0,0.1673738771020483,20.645,17.537,13770,"[2, 4, 6, 8, 10, 12, 14, 16, 20, 22, 24, 28, 36, 44, 46, 48, 52, 60, 72, 96]","[4, 188, 1, 75, 2, 19, 1, 12, 4, 2, 248, 2, 2, 2, 1, 81, 2, 1, 15, 5]",A,1060,563.3333,213.2223,0.3785,1.0,0.1433,smooth,0,246,23
10000998001,可樂雪碧350ml*12入組,28.0,20.0,19.0,10640.0,4.8,1.0,10640.0,PCS,645.0,0.1695238412693121,1.308,0.509,850,"[1, 2, 3, 4]","[464, 173, 12, 1]",A,79,40.4762,23.2693,0.5749,1.0,0.3305,smooth,1,19,16
10032016001,御茶園特上奶茶250ml,35.0,20.0,11.0,7700.0,6.58,24.0,320.8,PCS,629.0,0.1716204729921168,27.304,20.562,17802,"[6, 12, 18, 24, 30, 36, 42, 48, 72, 240, 288]","[123, 33, 12, 312, 2, 3, 2, 148, 15, 1, 1]",A,1603,822.5714,335.297,0.4076,1.0,0.1662,smooth,0,379,10
15020047001,光泉全脂保久牛乳,32.0,15.0,13.0,6240.0,5.25,24.0,260.0,PCS,609.0,0.1736504391593473,37.673,28.799,24450,"[6, 12, 18, 24, 30, 48, 54, 60, 72, 84, 96, 120, 126, 144, 192]","[87, 32, 13, 261, 3, 130, 7, 5, 43, 14, 36, 13, 1, 3, 1]",A,2504,1164.2857,814.1991,0.6993,1.0,0.489,smooth,1,619,12
14131047001,77新貴派18片盒裝-花生,59.0,27.0,22.0,35046.0,5.04,12.0,2920.5,PCS,583.0,0.1776037066048899,1.467,1.239,864,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 12]","[451, 81, 27, 14, 7, 3, 1, 1, 1, 3]",A,83,41.1429,25.3718,0.6167,1.0,0.3803,smooth,1,20,7
14501012001,滿漢大餐蔥燒牛肉(碗) 192g,50.0,36.0,15.0,27000.0,3.0,12.0,2250.0,PCS,572.0,0.1814169763837269,2.892,1.266,1666,"[2, 4, 10, 12, 18]","[333, 240, 1, 1, 1]",A,152,79.3333,43.8741,0.553,1.0,0.3058,smooth,1,35,7
10001006001,雪碧汽水330ml,40.0,28.0,12.0,13440.0,8.95,24.0,560.0,PCS,572.0,0.1795103414943084,17.499,18.934,10062,"[6, 12, 18, 24, 30, 36, 48, 72, 78, 96, 264]","[294, 54, 10, 144, 2, 3, 55, 8, 1, 3, 1]",A,909,466.5714,190.077,0.4074,1.0,0.166,smooth,0,215,10
10001009001,黑松沙士245ml,40.0,27.0,10.0,10800.0,6.77,24.0,450.0,PCS,571.0,0.1833202779953667,34.309,18.887,19968,"[2, 22, 24, 46, 48, 72, 96, 120, 240]","[4, 3, 379, 1, 158, 27, 4, 5, 1]",A,2215,939.4286,775.14,0.8251,1.0,0.6808,erratic,1,568,19
