item_code,item_name,order_frequency,total_qty,avg_qty_per_order,days_ordered,best_fit,poisson_p,normal_p,note
14505125001,營多珍饌系列印尼極品炒麵80g 營多印尼極品炒,69,445,6.449275362318841,14,poisson,0.1236,0.0,
14505138001,拉麵道-日式豚骨(杯)73G,285,1722,5.701986754966887,21,poisson,0.1083,0.0,
14505139001,營多珍饌系列蒜香極品炒麵80g 營多蒜香極品炒,33,226,6.848484848484849,18,poisson,0.8998,0.7604,
14505148001,黑雞牌雞絲麵55g*5(免煮) 黑雞牌雞絲麵,42,60,1.4285714285714286,15,poisson,0.513,0.0,
14505899001,統一脆麵(包)55g,403,6300,14.858490566037736,21,poisson,0.0784,0.0,
14505911001,統一肉燥調合米粉(碗)64g,44,678,12.555555555555555,17,poisson,0.0857,0.0,
14505913001,起司火辣雞肉風味鐵板炒麵 起司火辣炒麵,6,7,1.1666666666666667,4,poisson,0.5383,0.0,
14505917001,科學麵香蔥雞汁風味40g,294,4395,14.17741935483871,21,poisson,0.0081,0.0,
14505926001,Pulmuone直火炸醬麵 直火炸醬麵,2,2,1.0,2,poisson,,,sparse
14505931001,激辛火辣雞肉風味鐵板炒麵,5,5,1.0,5,poisson,1.0,0.0,
14505947001,NOBRAND火辣海鮮炒碼風味拉麵 海鮮炒碼麵,4,4,1.0,4,poisson,1.0,0.0,
14505958001,ABC香辣番茄湯味麵 番茄湯味麵,4,20,5.0,4,poisson,1.0,0.0,
14505973001,宗家府火辣泡菜麵,2,8,4.0,2,poisson,,,sparse
14505996001,NOBRAND韓式大醬辣牛肉風味拉麵,6,6,1.0,5,poisson,0.9133,0.0,
14506001001,五木拉麵-海鮮321g,155,344,2.15,21,poisson,0.0408,0.0,
14506002001,農心爽口海鮮烏龍麵超值包120g x5 爽口海鮮烏龍麵,105,126,1.2,20,poisson,0.0032,0.0,
14506004001,家福油麵2000g 家福油麵2000g,30,39,1.3,17,poisson,0.522,0.4352,
14506005001,五木拉麵-牛肉321g 五木拉麵-牛肉,45,70,1.5555555555555556,15,poisson,0.0527,0.0,
14506006001,五木拉麵-肉燥321g,1,2,2.0,1,poisson,,,sparse
14506008001,馬祖老酒麵線-花雕雞風味95g 馬祖老酒麵線,43,228,5.3023255813953485,15,poisson,0.4921,0.0,
14506011001,五木關東麵375g,7,10,1.4285714285714286,7,poisson,0.585,0.0,
14506012001,五木細關東麵375g,1,2,2.0,1,poisson,,,sparse
14506013001,上智鍋燒意麵泡菜口味280g 上智鍋燒意麵,14,17,1.2142857142857142,9,poisson,0.6096,0.1392,
14506014001,韓國不倒翁Q拉麵(純粗麵條)110g*5,16,21,1.3125,9,poisson,0.3364,0.0181,
14506015001,農心 安城湯麵超值包125g x5 農心安城湯麵,88,97,1.1022727272727273,20,poisson,0.04,0.0,
14506018001,龍口台灣拉麵1.8Kg 龍口台灣拉麵,24,31,1.2916666666666667,16,normal,0.1301,0.1685,
14506021001,家福麻醬招牌乾麵100g 家福麻醬招牌乾,9,50,5.555555555555555,4,poisson,0.1284,0.0005,
14506024001,揚豐御廚排骨3分拉麵346g 排骨 3分拉麵,4,15,3.75,4,poisson,1.0,0.0,
14506025001,公仔麵-麻油(包)100g 公仔麵-麻油(包,1,5,5.0,1,poisson,,,sparse
14506031001,農心韓國辣味醡醬風味麵137g x4 辣味醡醬風味麵,1,1,1.0,1,poisson,,,sparse
14506032001,家福細拉麵2000g 家福細拉麵2000g,1,1,1.0,1,poisson,,,sparse
14506033001,家福麵線,13,19,1.4615384615384617,9,poisson,0.7752,0.1321,
14506036001,Paldo起司拉麵(包)111g Paldo起司拉麵(,17,68,4.0,11,poisson,0.7786,0.5196,
14506038001,五木銀絲麵400g,15,26,1.7333333333333334,11,poisson,0.8781,0.0747,
14506039001,五木特級營養麵條經濟包 2000g,88,158,1.7173913043478262,15,poisson,0.0088,0.0,
14506041001,福忠眷村醬麵-蒜香麻醬125g x4 福忠眷村醬麵,11,13,1.181818181818182,7,poisson,0.4943,0.1201,
14506042001,家福營養麵條 300g,15,35,2.3333333333333335,11,poisson,0.8781,0.0747,
14506043001,揚豐烏醋香醇乾拌拉麵400g 烏醋乾拌麵,4,5,1.25,4,poisson,1.0,0.0,
14506044001,家樂福刀削麵,25,33,1.32,15,normal,0.5339,0.5418,
14506045001,揚豐肉燥3分拉麵(寬麵)333g 肉燥3分拉麵寬麵,20,28,1.4,12,normal,0.4263,0.4672,
14506046001,揚豐乾拌炸醬3分拉麵390g 乾拌炸醬3分拉麵,12,17,1.4166666666666667,9,poisson,0.9609,0.0984,
14506048001,鄉傳優良油麵經濟包1600g,10,12,1.2,8,poisson,0.9767,0.0,
14506049001,好勁道-寬版大麵300g,51,93,1.8235294117647056,20,poisson,0.4658,0.0,
14506053001,揚豐柴魚3分拉麵343g 柴魚3分拉麵,15,21,1.4,10,poisson,0.7729,0.1266,
14506056001,五木雞蛋麵條經濟包 2000g,159,207,1.30188679245283,21,poisson,0.432,0.0,
14506057001,家福油麵 300g 家福油麵 300g,6,17,2.8333333333333335,5,poisson,0.9133,0.0,
14506059001,龍口台灣營養麵條1.8Kg 龍口台灣營養麵,12,13,1.0833333333333333,11,poisson,0.4039,0.0,
14506060001,曾拌麵-麻油椒香117g x4,47,56,1.1914893617021276,17,poisson,0.1869,0.0,
14506062001,鄉傳在地小吃台南擔仔麵321g 鄉傳在地小吃台,14,30,2.142857142857143,9,poisson,0.5967,0.2464,
14506065001,好勁道-家常麵條 300g,129,259,1.962121212121212,21,poisson,0.3664,0.0,
14506066001,好勁道-天禧麵線300g,52,88,1.6923076923076923,20,normal,0.2646,0.361,
14506067001,好勁道-千羽拉麵320g,77,177,2.269230769230769,20,poisson,0.4791,0.0,
14506069001,鄉傳在地小吃南投意麵321g,19,35,1.75,14,poisson,0.5451,0.5361,
14506070001,五木純麵煮意(菠菜)504g,59,80,1.3559322033898304,21,poisson,0.1638,0.0,
14506071001,揚豐無調味3分拉麵780g,3,3,1.0,3,poisson,1.0,0.0,
14506072001,好勁道-月見雞蛋麵300g,163,287,1.7607361963190185,21,poisson,0.5729,0.0,
14506074001,不倒翁辣起司風味拉麵111g x4 不倒翁辣起司,15,18,1.125,13,poisson,0.4274,0.0536,
14506076001,譽方媽媽 關廟拉麵1000g,6,9,1.5,6,poisson,0.6732,0.0,
14506081001,家福關東細麵 家福關東細麵,7,12,1.7142857142857142,6,poisson,0.9794,0.0,
14506082001,家福關東麵,4,5,1.25,4,poisson,1.0,0.0,
14506084001,鄉傳經濟包麵條1600g,80,102,1.275,18,poisson,0.0262,0.0,
14506085001,不倒翁金拉麵-原味(袋) 120g 不倒翁金拉麵-,18,115,6.388888888888889,11,poisson,0.636,0.3726,
14506087001,農心辛拉麵超值包120g x5,325,408,1.255384615384615,21,poisson,0.0011,0.0,
14506089001,不倒翁起司拉麵(袋)111g 不倒翁起司拉麵,38,180,4.7368421052631575,7,poisson,0.0089,0.0,
14506090001,五木純麵煮意(原味)504g,106,152,1.4205607476635511,21,poisson,0.015,0.0,
14506096001,財貴伯台灣手工麵線1200g 手工麵線,33,41,1.2424242424242424,14,poisson,0.923,0.0,
14506099001,維力媽媽拉麵(袋)70gX6 維力媽媽拉麵(,51,72,1.3584905660377358,17,poisson,0.0543,0.0,
14506100001,臺灣好物金門高粱醬香拌麵90g 高粱醬香拌麵,50,432,8.470588235294118,14,poisson,0.1319,0.0,
14506103001,日正長壽麵線250g,31,49,1.5806451612903225,14,poisson,0.6806,0.1288,
14506109001,福成關廟麵 1200g 關廟麵,37,51,1.3783783783783785,15,poisson,0.4297,0.0,
14506111001,Paldo御膳三鮮炸醬麵120g x4 御膳三鮮炸醬麵,11,14,1.2727272727272727,8,poisson,0.8036,0.1719,
14506112001,譽方媽媽 關廟意麵1000g,10,14,1.4,10,poisson,0.314,0.0,
14506122001,農心醡醬風味麵(包)140g 農心醡醬風味麵,1,4,4.0,1,poisson,,,sparse
14506124001,正嘉刀削麵900g 正嘉關廟刀削麵,15,18,1.2,9,poisson,0.455,0.124,
14506126001,農心馬鈴薯麵(包)100g 農心馬鈴薯麵(,29,132,4.551724137931035,17,poisson,0.5138,0.4706,
14506127001,上智鍋燒意麵海鮮口味280g 上智鍋燒意麵,3,3,1.0,2,poisson,,,sparse
14506129001,Paldo御膳火麵120g x4 御膳火麵,7,9,1.2857142857142858,7,poisson,0.585,0.0,
14506130001,福成意麵 1200g 福成意麵,17,17,1.0,9,poisson,0.244,0.0224,
14506131001,福成粄條麵 1200g 粄條麵,8,10,1.25,6,poisson,0.7627,0.0,
14506132001,正嘉陽春麵1200g 正嘉陽春麵900g,1,1,1.0,1,poisson,,,sparse
14506135001,譽方媽媽 關廟刀削麵800g,13,45,3.0,10,poisson,0.7537,0.2608,
14506139001,正嘉關廟麵1200g 正嘉關廟麵1200,40,58,1.4146341463414631,17,poisson,0.7081,0.4776,
14506140001,農心爽口海鮮烏龍麵(包)120g 農心爽口海鮮烏,16,76,4.75,10,poisson,0.6004,0.1007,
