item_code,item_name,abc_kmeans,distribution,mean_order_freq,std_order_freq,cv,cv_class,full_class
10031026001,泰山冰鎮紅茶1250ml,B,poisson,0.619,0.7868,1.271,2,medium demand - intermittent
10031030001,茶之初紅茶535ml,C,poisson,0.1429,0.378,2.6458,2,low demand - intermittent
10031031001,義美錫蘭紅茶TP250ml 義美錫蘭紅茶,A,poisson,13.7619,3.7097,0.2696,0,high demand - stable
10031033001,原萃錫蘭無糖紅茶580ml 原萃錫蘭紅茶,A,poisson,12.6667,3.559,0.281,0,high demand - stable
10031899001,KIRIN午後紅茶-原味紅茶 1500ml KIRIN午後紅茶,B,poisson,0.4762,0.6901,1.4491,2,medium demand - intermittent
10031901001,御茶園特上紅茶 1250ml 特上紅茶Pet,A,poisson,5.1429,2.2678,0.441,0,high demand - stable
10031902001,光泉冷泡茶英倫無糖紅茶585ml,A,poisson,4.1905,2.0471,0.4885,0,high demand - stable
10031909001,KIRIN午後紅茶-無糖紅茶500ml,C,poisson,0.0476,0.2182,4.5826,2,low demand - intermittent
10031910001,波蜜靠茶初茗紅茶 250ml 靠茶初茗紅茶TP,A,normal,17.2857,9.5775,0.5541,1,high demand - volatile
10031911001,午后時光錫蘭紅茶 250ml,A,poisson,7.7619,2.786,0.3589,0,high demand - stable
10031916001,原萃冷萃蜜香福氣組 450mlx12入組 冷萃蜜香福氣組,A,poisson,11.6667,3.4157,0.2928,0,high demand - stable
10032001001,麥香阿薩姆奶茶Pet1250ml,B,poisson,2.1429,1.4639,0.6831,1,medium demand - volatile
10032003001,阿薩姆奶茶TP350ml,A,poisson,8.5714,2.9277,0.3416,0,high demand - stable
10032004001,KIRIN午後紅茶-奶茶 Pet 500ml KIRIN 午後紅茶,C,poisson,0.3333,0.5774,1.7321,2,low demand - intermittent
10032005001,阿薩姆咖啡奶茶TP350ml,C,poisson,0.0476,0.2182,4.5826,2,low demand - intermittent
10032006001,立頓奶茶TP250ml,A,poisson,34.0,5.831,0.1715,0,high demand - stable
10032007001,立頓萃香奶綠535ml 立頓奶綠535ml,B,poisson,0.3333,0.5774,1.7321,2,medium demand - intermittent
10032008001,立頓瑞士巧克力奶茶TP250ml 瑞士巧克力奶茶,A,poisson,16.5238,4.0649,0.246,0,high demand - stable
