sku_i,sku_j,cooc,n_i,n_j,jaccard
14110084001,14110086001,29,222,110,0.09570957095709572
10040004001,10040094001,40,320,138,0.09569377990430622
10032011001,14840018001,20,115,114,0.09569377990430622
14003019001,14003041001,47,209,331,0.09533468559837728
14820013001,14820014001,57,316,339,0.09531772575250837
14505020001,14505021001,28,155,167,0.09523809523809523
14820008001,14840003001,88,302,712,0.09503239740820735
14010011001,14010034001,72,511,319,0.09498680738786279
14111001001,14111036001,30,207,139,0.0949367088607595
14502009001,14505013001,174,1210,797,0.09492635024549918
10033004001,10033018001,109,621,642,0.09445407279029462
14001045001,14001049001,52,349,254,0.09437386569872959
10011016001,10012011001,30,207,141,0.09433962264150944
10031031001,10032049001,40,281,183,0.09433962264150944
14000042001,14000043001,30,198,150,0.09433962264150944
14010040001,14011003001,172,1258,743,0.09404045926735921
14020006001,14021054001,22,154,102,0.09401709401709402
14502078001,14503013001,42,220,271,0.0935412026726058
14504009001,14621069001,21,80,166,0.09333333333333334
14130016001,14130017001,35,195,215,0.09333333333333334
14500000001,14505013001,169,1183,797,0.09331860850358918
14504001001,14504015001,33,186,201,0.09322033898305085
10030007001,10033004001,93,475,621,0.09272183449651047
14011059001,14011095001,48,339,227,0.09266409266409266
14831007001,14831020001,93,810,287,0.09262948207171315
14850010001,14850011001,25,177,118,0.09259259259259259
14504002001,14504015001,27,118,201,0.09246575342465753
10002035001,14504009001,22,180,80,0.09243697478991597
14104012001,14110084001,56,442,222,0.09210526315789473
14501902001,14503005001,37,223,216,0.09203980099502487
10040025001,10040026001,44,274,249,0.0918580375782881
14504009001,14509008001,22,80,182,0.09166666666666666
10031001001,10034025001,88,654,395,0.09157127991675339
10032008001,10032016001,81,341,627,0.09131905298759865
14131027001,14131041001,66,301,489,0.09116022099447514
10014032001,10014033001,21,87,165,0.09090909090909091
14820013001,14840006001,85,316,706,0.09071504802561366
14100003001,14100026001,53,501,139,0.09028960817717206
14501013001,14505031001,46,356,200,0.09019607843137255
14023248001,14023503001,32,229,159,0.0898876404494382
14504028001,14621069001,22,101,166,0.08979591836734693
10040004001,10040037001,33,320,81,0.08967391304347826
11040006001,11040009001,21,124,132,0.08936170212765958
