pod_id,item_id,qty,order_id,processed_time,task_type,trigger,opp_score,trip_start,trip_duration
198,81,3,62,2254,1,,
320,71,2,97,2259,1,,
460,739,7,-52,2259,1,,
308,458,2,81,2267,1,,
343,424,6,-10,2273,1,,
442,356,6,120,2283,1,,
229,1992,2,74,2289,1,,
384,31,7,56,2299,1,,
386,168,7,126,2302,1,,
365,335,2,4,2308,1,,
2,30,4,-52,2332,1,,
419,267,2,46,2335,1,,
256,259,4,-52,2339,1,,
299,15,1,4,2342,1,,
422,399,8,54,2347,1,,
453,585,1,29,2347,1,,
298,15,5,-10,2347,1,,
52,1477,2,62,2352,1,,
41,1237,2,54,2356,1,,
450,531,6,105,2357,1,,
420,289,7,134,2367,1,,
418,215,6,134,2377,1,,
129,116,5,129,2396,1,,
466,853,4,134,2396,1,,
454,604,4,97,2403,1,,
469,888,4,105,2408,1,,
312,480,4,129,2409,1,,
421,368,4,-10,2415,1,,
248,2092,1,117,2422,1,,
439,253,10,132,2428,1,,
439,257,2,114,2428,1,,
167,1647,2,129,2435,1,,
423,444,3,-52,2449,1,,
462,762,3,5,2450,1,,
412,99,1,90,2457,1,,
122,1391,1,40,2465,1,,
60,7,4,96,2471,1,,
111,1330,7,96,2483,1,,
429,766,3,102,2489,1,,
242,163,5,-61,2494,1,,
483,1139,3,-10,2494,1,,
468,879,3,105,2500,1,,
157,65,10,-80,2503,1,,
344,473,4,-16,2507,1,,
351,2644,2,102,2512,1,,
413,2918,3,105,2517,1,,
413,-1,-1,-999,2518,2,v14_piggyback,3.0,2517,1
124,1402,2,-61,2538,1,,
285,211,6,-80,2542,1,,
481,1098,6,-80,2556,1,,
201,1832,2,-52,2560,1,,
0,3,9,149,2563,1,,
0,37,5,149,2563,1,,
461,751,2,108,2568,1,,
280,470,10,-98,2572,1,,
444,396,2,86,2573,1,,
86,3058,3,149,2574,1,,
84,270,9,155,2605,1,,
445,429,2,-52,2609,1,,
420,2949,3,147,2613,1,,
453,599,12,96,2621,1,,
454,602,3,-10,2625,1,,
422,402,7,-16,2635,1,,
467,855,8,130,2635,1,,
452,577,4,155,2636,1,,
488,1212,2,155,2641,1,,
274,243,6,151,2655,1,,
274,434,7,130,2655,1,,
466,848,2,149,2658,1,,
182,67,7,-98,2668,1,,
223,1955,2,56,2678,1,,
85,8,6,-98,2682,1,,
210,1880,1,-52,2689,1,,
68,2026,2,130,2694,1,,
68,4,4,113,2694,1,,
446,437,1,37,2697,1,,
442,363,8,113,2708,1,,
179,160,6,130,2726,1,,
455,636,1,37,2727,1,,
241,284,6,-98,2743,1,,
232,2010,6,95,2748,1,,
122,1394,3,108,2748,1,,
486,1181,1,102,2751,1,,
256,221,6,130,2754,1,,
461,750,6,160,2757,1,,
469,903,6,-98,2766,1,,
103,1277,8,24,2769,1,,
