item_code,item_id,n_slots,s_total,rop_global,rop_per_slot
14011010001,560,3,36,2,1
14244052001,561,3,36,3,1
14121104001,562,1,24,2,2
14501021001,563,2,192,58,29
10032011001,564,2,336,23,12
31501021001,565,1,30,2,2
14840018001,566,1,144,4,4
14104019001,567,3,18,1,1
14000010001,568,3,15,1,1
14500003001,569,2,180,59,30
10032020001,570,3,144,9,3
14361099001,571,4,48,4,1
14502054001,572,3,72,5,2
14204054001,573,1,40,2,2
12000178001,574,2,48,3,2
14203001001,575,1,40,2,2
14510033001,576,3,39,3,1
14510041001,577,3,39,2,1
31501010001,578,2,48,2,1
14105130001,579,1,18,1,1
10033010001,580,7,168,16,3
14503002001,581,1,90,6,6
14613902001,582,2,48,3,2
14121094001,583,3,24,2,1
10035002001,584,5,80,6,2
14001034001,585,2,40,2,1
14112021001,586,2,20,1,1
15020046001,587,3,648,42,14
14811007001,588,1,24,1,1
10001020001,589,3,288,17,6
14020022001,590,1,24,2,2
10033014001,591,4,192,15,4
10034039001,592,2,288,18,9
14110086001,593,2,30,2,1
14510252001,594,3,39,3,1
14804005001,595,2,240,11,6
10000012001,596,6,144,12,2
31533008001,597,1,45,2,2
14020014001,598,2,20,1,1
14242011001,599,1,30,2,2
10033016001,600,6,144,11,2
14616002001,601,2,72,4,2
14132003001,602,2,20,2,1
14820017001,603,1,120,11,11
14131056001,604,2,16,1,1
10034050001,605,3,288,20,7
14242012001,606,2,40,2,1
14020951001,607,3,36,3,1
14100013001,608,2,20,2,1
10015011001,609,2,384,21,11
14131121001,610,1,12,4,4
14510029001,611,3,39,3,1
14506090001,612,2,24,1,1
12201031001,613,7,287,26,4
15020920001,614,3,648,272,91
14222142001,615,2,40,2,1
11103050001,616,7,42,4,1
11103019001,617,6,24,9,2
14502023001,618,1,48,16,16
10030016001,619,3,144,11,4
14502029001,620,2,96,6,3
10021009001,621,10,120,10,1
14830002001,622,1,192,8,8
14204071001,623,2,48,3,2
14850001001,624,12,12,1,1
14001002001,625,2,36,3,2
14223094001,626,1,24,2,2
14510175001,627,2,26,10,5
10002074001,628,2,48,4,2
14000041001,629,2,24,1,1
14506002001,630,2,16,1,1
14133030001,631,3,36,3,1
14510069001,632,2,26,2,1
14504053001,633,1,24,2,2
14630016001,634,1,60,2,2
14021054001,635,3,18,1,1
14223039001,636,2,24,1,1
11050004001,637,3,24,2,1
14620030001,638,2,24,2,1
10000004001,639,8,96,8,1
14831013001,640,1,192,9,9
11040010001,641,2,48,3,2
14023025001,642,2,40,3,2
14504028001,643,2,180,9,5
14120020001,644,1,24,2,2
10030046001,645,5,240,22,5
14510111001,646,2,26,2,1
14330010001,647,4,24,2,1
14001031001,648,2,40,2,1
15024004001,649,2,384,21,11
14500008001,650,7,168,14,2
10034024001,651,3,288,20,7
15021035001,652,2,480,25,13
14103030001,653,2,30,2,1
14222114001,654,1,40,2,2
14223037001,655,2,24,2,1
11102002001,656,1,40,2,2
10040079001,657,7,42,4,1
14510100001,658,2,26,1,1
31500006001,659,1,48,2,2
14010019001,660,2,36,2,1
14121173001,661,1,24,2,2
14011078001,662,2,24,2,1
14100001001,663,2,24,2,1
14510109001,664,3,39,2,1
14000135001,665,5,15,8,2
14244896001,666,1,120,8,8
14111134001,667,1,40,3,3
14111024001,668,2,20,1,1
10002906001,669,2,96,9,5
10033065001,670,7,168,15,3
10031901001,671,4,96,8,2
11111033001,672,3,24,9,3
10012006001,673,1,336,14,14
14805017001,674,1,96,8,8
10002025001,675,3,36,3,1
10001005001,676,3,288,17,6
10022007001,677,4,384,33,9
10033056001,678,4,192,16,4
14500006001,679,1,72,6,6
10012899001,680,4,192,19,5
14505105001,681,1,72,4,4
14010187001,682,2,32,2,1
14503034001,683,2,80,5,3
14620062001,684,2,48,3,2
10021007001,685,8,96,8,1
14603003001,686,1,60,2,2
14121179001,687,2,12,4,2
15023020001,688,2,336,22,11
14010030001,689,2,40,2,1
10035001001,690,5,60,5,1
14020008001,691,1,24,2,2
14132038001,692,2,20,1,1
14613915001,693,2,24,2,1
10035012001,694,4,192,18,5
14130015001,695,3,24,1,1
14810012001,696,1,120,5,5
10021019001,697,2,336,21,11
14615894001,698,2,24,2,1
14506490001,699,2,16,1,1
10041085001,700,5,240,18,4
14001036001,701,2,40,2,1
12201120001,702,1,37,3,3
15022005001,703,3,648,183,61
14010049001,704,2,24,2,1
14110154001,705,1,20,10,10
10032046001,706,2,336,23,12
14222046001,707,1,20,1,1
14104096001,708,1,96,3,3
11111011001,709,2,24,2,1
10016015001,710,2,336,29,15
14003013001,711,1,24,1,1
10020011001,712,2,336,26,13
10034020001,713,2,288,18,9
11050017001,714,2,16,1,1
14022029001,715,3,18,1,1
10031007001,716,3,144,12,4
10014113001,717,2,192,19,10
14511052001,718,2,26,2,1
10001035001,719,2,96,8,4
10033034001,720,8,192,18,3
14100021001,721,2,20,1,1
14506015001,722,2,16,1,1
10014020001,723,2,288,14,7
14010150001,724,1,18,1,1
14311112001,725,4,32,3,1
14506039001,726,2,24,6,3
14244059001,727,1,60,3,3
14104126001,728,1,90,6,6
14022003001,729,2,24,1,1
10014032001,730,2,288,21,11
14506275001,731,2,96,23,12
14104085001,732,1,18,1,1
14510110001,733,2,26,2,1
14132013001,734,2,20,1,1
10040041001,735,5,360,24,5
14810013001,736,1,120,5,5
10040081001,737,9,216,19,3
14101004001,738,2,24,2,1
14010079001,739,1,24,2,2
14111002001,740,1,18,1,1
10024011001,741,3,144,10,4
14501942001,742,1,72,24,24
14010078001,743,1,24,2,2
10021017001,744,5,240,20,4
10040042001,745,9,36,3,1
12201065001,746,5,190,17,4
14805005001,747,2,192,10,5
14200006001,748,1,96,2,2
14111009001,749,2,24,2,1
14361100001,750,2,24,2,1
14131043001,751,3,24,2,1
14601004001,752,2,48,3,2
14613019001,753,1,24,2,2
10033082001,754,4,192,14,4
12202007001,755,4,16,1,1
10031011001,756,4,96,7,2
14613904001,757,5,20,1,1
10033049001,758,4,64,5,2
10040020001,759,7,336,29,5
14104113001,760,2,20,1,1
14510057001,761,2,26,2,1
14352060001,762,2,40,2,1
10033053001,763,5,80,7,2
31473013001,764,1,24,1,1
14612900001,765,1,36,2,2
14501929001,766,1,90,6,6
14000078001,767,2,10,5,3
10033027001,768,2,96,9,5
12220005001,769,3,12,5,2
12201013001,770,5,185,14,3
14804001001,771,1,120,6,6
14011051001,772,2,24,2,1
10031902001,773,6,144,12,2
10000021001,774,2,192,17,9
14104150001,775,2,16,1,1
10040037001,776,8,32,3,1
14111132001,777,1,40,2,2
10041040001,778,4,192,14,4
14001009001,779,2,48,3,2
12201037001,780,7,266,22,4
14600013001,781,1,72,1,1
10040033001,782,7,112,9,2
14133901001,783,2,24,1,1
14010149001,784,2,32,2,1
14511056001,785,3,39,3,1
14504009001,786,2,180,10,5
10010026001,787,1,264,18,18
11111021001,788,2,24,2,1
