tick,total_energy,job_queue_len,stop_and_go,total_turning
16598.1,32043212.872920923,17,48325,37164
16598.25,32043472.986649938,17,48325,37165
16598.4,32043654.114468463,17,48327,37165
16598.55,32043920.332262702,17,48328,37166
16598.7,32044100.775760796,17,48329,37167
16598.85,32044273.11902089,17,48330,37168
16599.0,32045048.360363603,17,48333,37169
16599.15,32045352.291761573,17,48334,37172
16599.3,32045498.14704997,17,48334,37173
16599.45,32045602.05127738,17,48335,37174
16599.6,32045662.44808588,17,48336,37174
16599.75,32045724.40189438,17,48336,37174
16599.9,32045790.82684636,17,48336,37174
16600.05,32045863.79065339,17,48336,37174
16600.2,32045943.29331547,17,48336,37174
16600.35,32046025.563412704,17,48337,37174
16600.5,32046119.1644451,17,48337,37174
16600.65,32046224.874912642,17,48337,37174
16600.8,32046463.234361876,17,48337,37175
16600.95,32046607.42774263,17,48337,37175
16601.1,32046772.339024693,17,48337,37175
16601.25,32046955.76933482,18,48337,37175
16601.4,32047153.447386056,18,48337,37175
16601.55,32047364.593915466,18,48337,37175
16601.7,32047565.905942418,18,48338,37175
16601.85,32047866.396591928,18,48338,37176
16602.0,32048091.766464256,18,48339,37176
16602.15,32048934.13035839,18,48340,37176
16602.3,32049207.986528393,19,48341,37177
16602.45,32049487.43678896,19,48341,37178
16602.6,32049704.242919955,19,48341,37178
16602.75,32049919.436450474,19,48341,37178
16602.9,32050125.465798177,19,48342,37178
16603.05,32050347.72467994,19,48343,37179
16603.2,32050600.804965053,19,48344,37180
16603.35,32050795.11025846,19,48344,37180
16603.5,32050972.297473475,19,48345,37180
16603.65,32051149.55055402,19,48345,37181
16603.8,32051317.95305047,19,48345,37181
16603.95,32051652.15082538,19,48346,37182
16604.1,32051909.04500503,19,48346,37183
16604.25,32052048.43553902,19,48346,37183
16604.4,32052180.88738036,19,48347,37183
16604.55,32052309.653070908,19,48348,37183
16604.7,32052476.5218412,19,48350,37184
16604.85,32052713.896210264,19,48351,37186
16605.0,32052856.107993744,19,48351,37187
16605.15,32052981.719116665,19,48351,37187
16605.3,32053113.876155626,19,48351,37187
16605.45,32053234.315749746,19,48352,37187
16605.6,32053419.521680273,19,48352,37188
16605.75,32053556.18588391,19,48352,37188
16605.9,32053682.009669673,19,48353,37188
16606.05,32053807.407273393,19,48354,37188
16606.2,32054587.41173976,19,48354,37188
16606.35,32054716.945755314,19,48355,37188
16606.5,32054848.827812504,19,48355,37188
16606.65,32054987.402034756,19,48355,37188
16606.8,32055143.548808116,19,48355,37188
16606.95,32055317.336874146,19,48355,37188
16607.1,32055486.033238783,19,48357,37188
16607.25,32055750.488143835,19,48357,37190
16607.4,32055956.696857933,19,48357,37190
16607.55,32056178.263781115,19,48357,37190
16607.7,32056410.517913375,19,48358,37190
16607.85,32056664.063698087,19,48359,37191
16608.0,32057175.277615707,19,48359,37193
16608.15,32057424.013021138,19,48359,37193
16608.3,32057648.806359716,19,48360,37193
16608.45,32057878.99334871,19,48360,37193
16608.6,32058086.862159565,19,48362,37193
16608.75,32058383.403592493,19,48362,37195
16608.9,32058590.493903354,19,48362,37195
16609.05,32058799.107653074,19,48362,37195
16609.2,32059005.18765777,19,48362,37195
16609.35,32059205.884840995,19,48362,37195
16609.5,32059417.726010386,19,48362,37195
16609.65,32059608.305916604,19,48363,37195
16609.8,32059858.51155244,19,48363,37196
16609.95,32060053.34829666,19,48363,37196
16610.1,32060253.504562512,19,48363,37196
16610.25,32060460.3129396,19,48363,37196
16610.4,32060648.45877215,19,48365,37196
16610.55,32060915.678301957,19,48365,37198
16610.7,32061111.492250513,19,48365,37198
16610.85,32061303.188922767,19,48366,37198
16611.0,32061544.28641467,19,48367,37199
16611.15,32061770.367879692,19,48368,37200
16611.3,32062008.57885615,19,48369,37201
16611.45,32062206.47599728,19,48369,37202
16611.6,32062383.61749099,19,48370,37202
16611.75,32062646.535444554,19,48370,37203
16611.9,32062842.698869534,19,48370,37203
16612.05,32063044.336753238,19,48370,37203
16612.2,32063244.771465182,19,48370,37203
16612.35,32063447.66208773,19,48370,37203
16612.5,32063653.079464372,19,48370,37203
16612.65,32063840.846696794,19,48371,37203
16612.8,32064107.209864963,19,48372,37204
16612.95,32065185.577548504,19,48373,37204
16613.1,32065439.995110676,19,48373,37205
16613.25,32065642.085123822,19,48373,37205
16613.4,32065852.203651767,19,48373,37205
16613.55,32066074.731874537,19,48373,37205
16613.7,32066308.914942946,19,48373,37205
16613.85,32066548.21319232,19,48373,37205
16614.0,32066788.478696812,19,48373,37205
16614.15,32067015.266435612,19,48375,37205
16614.3,32067934.899047337,19,48375,37206
16614.45,32068159.804388717,19,48376,37206
16614.6,32068438.65308074,19,48377,37207
16614.75,32068816.192485247,19,48377,37209
16614.9,32069049.725996617,19,48377,37209
16615.05,32069287.955466695,19,48377,37209
16615.2,32069532.437895484,19,48377,37209
16615.35,32069783.17328299,19,48377,37209
16615.5,32070035.49062919,19,48378,37209
16615.65,32070645.478754114,19,48378,37209
16615.8,32070900.778175704,19,48378,37209
16615.95,32071164.398267593,19,48378,37209
16616.1,32071424.627781775,19,48378,37209
16616.25,32071683.66867438,19,48378,37209
16616.4,32071918.08930207,19,48380,37209
16616.55,32072159.955169003,19,48380,37209
16616.7,32072411.27290564,19,48381,37209
16616.85,32072672.44191027,19,48382,37210
16617.0,32073004.634976145,19,48382,37211
16617.15,32073343.054713957,19,48383,37212
16617.3,32073611.968979523,19,48383,37212
16617.45,32073909.12216257,19,48384,37213
16617.6,32074217.780057374,19,48384,37214
16617.75,32074475.143695075,19,48384,37214
16617.9,32074679.115560707,19,48387,37214
16618.05,32075031.39170601,19,48387,37216
16618.2,32075231.215645783,19,48387,37216
16618.35,32075424.171090256,19,48387,37216
16618.5,32075621.655388407,19,48387,37216
16618.65,32075790.254993275,19,48389,37216
16618.8,32076082.874510657,19,48389,37218
16618.95,32076270.974987783,19,48389,37218
16619.1,32076466.03653945,19,48389,37218
16619.25,32076668.679567855,19,48389,37218
16619.4,32076882.13315866,19,48389,37218
16619.55,32077110.29395348,19,48389,37218
16619.7,32077326.966704067,19,48390,37218
16619.85,32077670.388784293,19,48390,37219
16620.0,32077900.571265765,19,48391,37219
16620.15,32078850.003588453,19,48391,37219
16620.3,32079075.177216507,19,48392,37219
16620.45,32079401.083018348,19,48392,37220
16620.6,32079598.992735606,19,48395,37220
16620.75,32079933.890563365,19,48395,37222
16620.9,32080154.496576205,19,48396,37222
16621.05,32080398.78636181,19,48396,37223
16621.2,32080639.44150555,19,48396,37223
16621.35,32080862.750665013,19,48397,37223
16621.5,32081086.05357313,19,48397,37223
16621.65,32081318.153967205,19,48397,37223
16621.8,32081559.064349942,19,48397,37223
16621.95,32081796.6272839,19,48398,37223
16622.1,32082108.667058732,19,48398,37224
16622.25,32082369.340240072,19,48398,37224
16622.4,32082639.249444198,19,48398,37224
16622.55,32082917.74023288,19,48398,37224
16622.7,32083210.50502927,19,48398,37224
16622.85,32083509.17340134,19,48399,37224
16623.0,32083860.419912912,19,48400,37225
16623.15,32084229.66158857,19,48400,37226
16623.3,32084518.61491122,19,48401,37226
16623.45,32084869.897105165,19,48402,37227
16623.6,32085240.13981617,19,48402,37228
16623.75,32085520.703306608,19,48402,37228
16623.9,32085788.943507943,19,48403,37228
16624.05,32086135.681264192,19,48403,37229
16624.2,32086404.328403044,19,48403,37229
16624.35,32086670.57613484,19,48403,37229
16624.5,32086926.311080474,19,48404,37229
16624.65,32087176.14859279,19,48404,37229
16624.8,32087409.870470017,19,48405,37229
16624.95,32087687.85327741,19,48405,37230
16625.1,32087933.725749094,19,48405,37230
16625.25,32088181.189490344,19,48405,37230
16625.4,32088434.570392113,19,48405,37230
16625.55,32088693.089954406,19,48405,37230
16625.7,32088953.599541746,19,48405,37230
16625.85,32089222.343845185,19,48406,37230
16626.0,32089529.159333225,19,48407,37231
